
Pasta                        Tamanho      Ultima Modificacao
-----                        -------      ------------------
C:\Windows                   31.57 GB     31/08/2026 14:56  
    |-- WinSxS               16.32 GB     05/08/2026 10:56  
    |-- System32             5.59 GB      31/08/2026 14:54  
C:\Program Files             21.65 GB     27/08/2026 16:28  
    |-- WindowsApps          10.12 GB     28/08/2026 11:23  
C:\Users                     18.71 GB     11/08/2026 11:28  
    |-- KauãOliveiraRavelTec 15.53 GB     31/08/2026 08:42  
        |-- AppData          15.25 GB     01/08/2026 22:49  
C:\Program Files (x86)       8.36 GB      18/08/2026 12:48  



